1	3.3 V		VCC	2	5 V		N/A
3	GPIO2		SDA	4	5 V		N/A
5	GPIO3		SCL	6	GND		GND
7	GPIO4	GPIO1	OUT	8	GPIO14	RX	RX
9	GND		GND	10	GPIO15	TX	TX
11	GPIO17	GPIO2	OUT	12	GPIO18	DIN1	OUT
13	GPIO27	GPIO3	OUT	14	GND		GND
15	GPIO22	GPIO4	OUT	16	GPIO23	DIN2	OUT
17	3.3 V		N/A	18	GPIO24	PWMD	OUT
19	GPIO10	SPI_MOSI	OUT	20	GND		GND
21	GPIO9	SPI_MISO	OUT	22	GPIO25	AIN1	OUT
23	GPIO11	SPI_SCLK	OUT	24	GPIO8	SPI_CE0	OUT
25	GND		GND	26	GPIO7	SPI_CE1	OUT
27	ID_SD (I2C EEPROM)		N/A	28	ID_SC (I2C EEPROM)		N/A
29	GPIO5	BIN1	OUT	30	GND		GND
31	GPIO6		EN (GPS)	32	GPIO12	BIN2	OUT
33	GPIO13	PWMC	OUT	34	GND		GND
35	GPIO19	CIN2	OUT	36	GPIO16	PWMA	OUT
37	GPIO26	CIN1	OUT	38	GPIO20	AIN2	OUT
39	GND		GND	40	GPIO21	PWMB	OUT